PRODUTO;DESCRICAO;LOTE MINIMO;PRECO (R$);%ICMS;%IPI;IPI (R$)
S3054;ACOP BRASIKON 2P+T 16A 100/130V 4H AM IP44;1;R$ 45,39;7;9,75;R$ 4,42
S3056;ACOP BRASIKON 2P+T 16A 200/250V 6H AZ IP44;1;R$ 45,37;7;9,75;R$ 4,42
SN3056;ACOP BRASIKON 2P+T 16A 200/250V AZ NEG;1;R$ 127,07;7;9,75;R$ 12,38
S3059;ACOP BRASIKON 2P+T 16A 380/440V 9H VM IP44;1;R$ 45,39;7;9,75;R$ 4,42
S3055;ACOP BRASIKON 2P+T 16A 600/690V 5H PT IP44;1;R$ 83,32;7;9,75;R$ 8,12
SN3859;ACOP BRASIKON 2P+T 200A 380/440V 9H VM NEG;1;R$ 7.395,03;7;9,75;R$ 721,01
S3254;ACOP BRASIKON 2P+T 32A 100/130V 4H AM IP44;1;R$ 64,51;7;9,75;R$ 6,28
S3256;ACOP BRASIKON 2P+T 32A 200/250V 6H AZ IP44;1;R$ 64,51;7;9,75;R$ 6,28
S3252;ACOP BRASIKON 2P+T 32A 24V 2H LI IP44;1;R$ 135,49;7;9,75;R$ 13,21
S3259;ACOP BRASIKON 2P+T 32A 380/440V 9H VM IP44;1;R$ 64,51;7;9,75;R$ 6,28
S283;ACOP BRASIKON 2P+T 42VCA 16A 12H BR;1;R$ 123,59;4;9,75;R$ 12,05
S3556;ACOP BRASIKON 2P+T 63A 200/250V 6H AZ IP67;1;R$ 237,68;7;9,75;R$ 23,17
S3559;ACOP BRASIKON 2P+T 63A 380/440V 9H VM IP67;1;R$ 237,68;7;9,75;R$ 23,17
S5656;ACOP BRASIKON 3P+N+T 125A 380/440V 6H VM IP67;1;R$ 2.186,19;7;9,75;R$ 213,15
S5059;ACOP BRASIKON 3P+N+T 16A 200/250V 9H AZ IP44;1;R$ 56,52;7;9,75;R$ 5,51
SN5059;ACOP BRASIKON 3P+N+T 16A 200/250V 9H AZ NG;1;R$ 158,23;7;9,75;R$ 15,42
S5056;ACOP BRASIKON 3P+N+T 16A 380/440V 6H VM IP44;1;R$ 56,52;7;9,75;R$ 5,51
S5259;ACOP BRASIKON 3P+N+T 32A 200/250V 9H AZ IP44;1;R$ 86,57;7;9,75;R$ 8,44
SN5259;ACOP BRASIKON 3P+N+T 32A 200/250V 9H AZ NEG;1;R$ 242,42;7;9,75;R$ 23,63
S5256;ACOP BRASIKON 3P+N+T 32A 380/440V 6H VM IP44;1;R$ 86,57;7;9,75;R$ 8,44
S5559;ACOP BRASIKON 3P+N+T 63A 200/250V 9H AZ IP67;1;R$ 519,28;7;9,75;R$ 50,62
S5556;ACOP BRASIKON 3P+N+T 63A 380/440V 6H VM IP67;1;R$ 519,28;7;9,75;R$ 50,62
S5555;ACOP BRASIKON 3P+N+T 63A 600/690V 5H PT IP67;1;R$ 1.090,47;7;9,75;R$ 106,32
S4659;ACOP BRASIKON 3P+T 125A 200/250V 9H AZ IP67;1;R$ 481,87;7;9,75;R$ 46,98
S4656;ACOP BRASIKON 3P+T 125A 380/440V 6H VM IP67;1;R$ 481,87;7;9,75;R$ 46,98
S4059;ACOP BRASIKON 3P+T 16A 200/250V 9H AZ IP44;1;R$ 39,29;7;9,75;R$ 3,83
S4056BM;ACOP BRASIKON 3P+T 16A 380/440V 6H VM;1;R$ 162,15;7;9,75;R$ 15,80
S4056;ACOP BRASIKON 3P+T 16A 380/440V 6H VM IP44;1;R$ 39,29;7;9,75;R$ 3,83
SN4056;ACOP BRASIKON 3P+T 16A 380/440V 6H VM NEG;1;R$ 145,12;7;9,75;R$ 14,14
S4856;ACOP BRASIKON 3P+T 200A 380/440V 6H VM;1;R$ 2.934,53;7;9,75;R$ 286,11
S4254;ACOP BRASIKON 3P+T 32A 100/130V 4H AM IP44;1;R$ 46,75;7;9,75;R$ 4,55
S4259;ACOP BRASIKON 3P+T 32A 200/250V 9H AZ IP44;1;R$ 46,75;7;9,75;R$ 4,55
S4256BM;ACOP BRASIKON 3P+T 32A 380/440V 6H VM;1;R$ 281,64;7;9,75;R$ 27,45
S4256;ACOP BRASIKON 3P+T 32A 380/440V 6H VM IP44;1;R$ 46,75;7;9,75;R$ 4,55
S4255;ACOP BRASIKON 3P+T 32A 600/690V 5H PT IP44;1;R$ 60,79;7;9,75;R$ 5,92
S4554;ACOP BRASIKON 3P+T 63A 100/130V 4H AM IP67;1;R$ 237,68;7;9,75;R$ 23,17
S4559;ACOP BRASIKON 3P+T 63A 200/250V 9H AZ IP67;1;R$ 237,68;7;9,75;R$ 23,17
SN4559;ACOP BRASIKON 3P+T 63A 200/250V 9H AZ NEG;1;R$ 665,48;7;9,75;R$ 64,88
